Days,Zona A,Group.2,Group.3
1,6,5,2002
2,235,5,2002
3,229,5,2002
4,256,5,2002
5,230,5,2002
6,224,5,2002
7,246,5,2002
8,206,5,2002
9,245,5,2002
10,248,5,2002
11,215,5,2002
12,185,5,2002
13,200,5,2002
14,165,5,2002
15,2,5,2002
16,254,5,2002
17,227,5,2002
18,211,5,2002
19,1,5,2002
20,244,5,2002
21,253,5,2002
22,224,5,2002
23,190,5,2002
24,67,6,2002
25,51,6,2002
26,218,6,2002
27,253,6,2002
28,213,6,2002
29,195,6,2002
30,269,6,2002
31,224,6,2002
32,205,6,2002
33,191,6,2002
34,250,6,2002
35,238,6,2002
36,250,6,2002
37,234,6,2002
38,193,6,2002
39,233,6,2002
40,219,6,2002
41,247,6,2002
42,251,6,2002
43,180,6,2002
44,263,7,2002
45,232,7,2002
46,232,7,2002
47,246,7,2002
48,202,7,2002
49,230,7,2002
50,209,7,2002
51,229,7,2002
52,214,7,2002
53,217,7,2002
54,219,7,2002
55,233,7,2002
56,220,7,2002
57,188,7,2002
58,199,7,2002
59,205,7,2002
60,217,7,2002
61,198,7,2002
62,216,7,2002
63,181,7,2002
64,231,7,2002
65,210,7,2002
66,228,7,2002
67,224,8,2002
68,183,8,2002
69,222,8,2002
70,225,8,2002
71,205,8,2002
72,197,8,2002
73,190,8,2002
74,166,8,2002
75,199,8,2002
76,217,8,2002
77,1,8,2002
78,158,8,2002
79,252,8,2002
80,214,8,2002
81,217,8,2002
82,223,8,2002
83,170,8,2002
84,279,8,2002
85,247,8,2002
86,205,8,2002
87,208,8,2002
88,173,8,2002
89,233,9,2002
90,198,9,2002
91,224,9,2002
92,218,9,2002
93,189,9,2002
94,230,9,2002
95,233,9,2002
96,201,9,2002
97,213,9,2002
98,163,9,2002
99,159,9,2002
100,91,9,2002
101,1,9,2002
102,51,9,2002
103,238,9,2002
104,226,9,2002
105,235,9,2002
106,178,9,2002
107,169,9,2002
108,211,9,2002
109,203,10,2002
110,197,10,2002
111,194,10,2002
112,166,10,2002
113,217,10,2002
114,210,10,2002
115,194,10,2002
116,207,10,2002
117,191,10,2002
118,205,10,2002
119,202,10,2002
120,214,10,2002
121,224,10,2002
122,168,10,2002
123,229,10,2002
124,187,10,2002
125,201,10,2002
126,197,10,2002
127,158,10,2002
128,229,10,2002
129,205,10,2002
130,201,10,2002
131,143,10,2002
132,212,11,2002
133,204,11,2002
134,194,11,2002
135,203,11,2002
136,175,11,2002
137,227,11,2002
138,225,11,2002
139,210,11,2002
140,196,11,2002
141,166,11,2002
142,207,11,2002
143,199,11,2002
144,192,11,2002
145,198,11,2002
146,194,11,2002
147,203,11,2002
148,210,11,2002
149,191,11,2002
150,199,11,2002
151,149,11,2002
152,202,12,2002
153,181,12,2002
154,173,12,2002
155,187,12,2002
156,166,12,2002
157,183,12,2002
158,202,12,2002
159,189,12,2002
160,171,12,2002
161,155,12,2002
162,176,12,2002
163,181,12,2002
164,164,12,2002
165,172,12,2002
166,131,12,2002
167,162,12,2002
168,61,12,2002
169,1,12,2002
170,169,12,2002
171,164,12,2002
172,167,12,2002
173,69,12,2002
174,3,1,2003
175,163,1,2003
176,162,1,2003
177,195,1,2003
178,185,1,2003
179,189,1,2003
180,185,1,2003
181,150,1,2003
182,187,1,2003
183,170,1,2003
184,169,1,2003
185,173,1,2003
186,138,1,2003
187,169,1,2003
188,190,1,2003
189,151,1,2003
190,191,1,2003
191,161,1,2003
192,178,1,2003
193,161,1,2003
194,164,1,2003
195,162,1,2003
196,152,1,2003
197,156,2,2003
198,201,2,2003
199,147,2,2003
200,154,2,2003
201,128,2,2003
202,164,2,2003
203,172,2,2003
204,132,2,2003
205,164,2,2003
206,148,2,2003
207,179,2,2003
208,168,2,2003
209,175,2,2003
210,147,2,2003
211,152,2,2003
212,174,2,2003
213,177,2,2003
214,162,2,2003
215,174,2,2003
216,145,2,2003
217,205,3,2003
218,205,3,2003
219,170,3,2003
220,216,3,2003
221,162,3,2003
222,206,3,2003
223,207,3,2003
224,211,3,2003
225,201,3,2003
226,190,3,2003
227,212,3,2003
228,196,3,2003
229,203,3,2003
230,187,3,2003
231,160,3,2003
232,199,3,2003
233,203,3,2003
234,213,3,2003
235,215,3,2003
236,171,3,2003
237,197,3,2003
238,193,4,2003
239,197,4,2003
240,210,4,2003
241,175,4,2003
242,220,4,2003
243,201,4,2003
244,200,4,2003
245,205,4,2003
246,174,4,2003
247,209,4,2003
248,189,4,2003
249,207,4,2003
250,159,4,2003
251,235,4,2003
252,185,4,2003
253,196,4,2003
254,185,4,2003
255,177,4,2003
256,217,4,2003
257,216,4,2003
258,167,4,2003