print servers,ws,d
1,0.5,inf
2,0.333333333,inf
3,0.289473684,0.149778652
4,0.27173913,0.049214306
5,0.26303713,0.022726962
6,0.258261934,0.01221372
7,0.255442745,0.007168043
8,0.25369025,0.004458318
9,0.252558309,0.0028899
10,0.251805268,0.0019321
11,0.251292414,0.001323171
12,0.250936425,0.000923733
13,0.250685399,0.000655083
14,0.250506031,0.000470673
15,0.250376415,0.000341928
16,0.250281838,0.000250754
17,0.250212245,0.000185399
18,0.250160657,0.000138057
19,0.250122165,0.00010345
20,0.250093278,7.80E-05