#Nombre,n,rho,Satisfied,DiaAten,Service,Penalty,noise,n
58_SA_1,3.012850631,0.53725953,1,1,60,5008,0.012850631,3
165_SA_2,1.055594299,0.48934471,1,2,120,50000,0.055594299,1
60_LC_1,2.09446315,0.36096393,1,1,90,5069,0.09446315,2
167_SA_2,3.010523486,0.69647045,1,2,60,50000,0.010523486,3
64_SA_1,3.018661597,0.69647045,1,1,10,50000,0.018661597,3
62_SA_1,3.035306387,0.69647045,1,1,150,50000,0.035306387,3
61_SA_1,3.044320992,0.69647045,1,1,30,50000,0.044320992,3
166_SA_2,3.019052919,0.69647045,1,2,40,50000,0.019052919,3
65_SA_1,3.0565692,0.69647045,1,1,30,50000,0.0565692,3
63_SA_1,3.046250079,0.69647045,1,1,75,50000,0.046250079,3
381_SA_5,3.000181714,0.69647045,1,5,60,50000,0.000181714,3
242_LC_3,1.081133474,0.65127499,1,3,40,50000,0.081133474,1
315_SA_4,2.032564004,0.30485524,1,4,180,2642,0.032564004,2
316_NU_4,3.024098988,0.05889968,1,4,60,10683,0.024098988,3
66_PR_1,4.04270478,0.39262025,1,1,75,370,0.04270478,4
317_LC_4,1.047103862,0.42557721,1,4,45,50000,0.047103862,1
243_SA_3,4.077060552,0.50038425,1,3,120,1067,0.077060552,4
69_VI_1,1.068655991,0.06251846,1,1,60,50000,0.068655991,1
382_PR_5,2.040859729,0.31148082,1,5,30,2844,0.040859729,2
319_PR_4,3.056862277,0.45348634,1,4,90,1986,0.056862277,3
71_PR_1,3.088942193,0.61434855,1,1,520,17877,0.088942193,3
70_SA_1,3.050990752,0.61434855,1,1,180,17877,0.050990752,3
170_SA_2,3.037047984,0.61434855,1,2,120,17877,0.037047984,3
244_SA_3,3.091681039,0.61434855,1,3,80,17877,0.091681039,3
169_LC_2,3.098526475,0.61434855,1,2,135,17877,0.098526475,3
171_PR_2,2.096761965,0.39246336,1,2,65,7683,0.096761965,2
172_NU_2,2.046044519,0.68987886,1,2,60,50000,0.046044519,2
321_SA_4,1.089848145,0.62494219,1,4,240,50000,0.089848145,1
383_SA_5,1.078563051,0.62494219,1,5,240,50000,0.078563051,1
73_PR_1,1.098898289,0.62494219,1,1,120,50000,0.098898289,1
72_SA_1,1.030805483,0.62494219,1,1,195,50000,0.030805483,1
320_SA_4,1.074406998,0.62494219,1,4,120,50000,0.074406998,1
322_SA_4,1.092615452,0.62494219,1,4,90,50000,0.092615452,1
323_SA_4,3.090669759,0.28344748,1,4,120,358,0.090669759,3
246_LC_3,2.025694779,0.33924213,1,3,100,3904,0.025694779,2
247_SA_3,1.094491943,0.47276648,1,3,90,50000,0.094491943,1
75_SA_1,2.069963356,0.50394387,1,1,75,50000,0.069963356,2
174_SA_2,2.054734116,0.50394387,1,2,360,50000,0.054734116,2
173_SA_2,2.065756036,0.50394387,1,2,55,50000,0.065756036,2
175_SA_2,2.026270455,0.50394387,1,2,90,50000,0.026270455,2
385_SA_5,2.070738277,0.50394387,1,5,60,50000,0.070738277,2
248_SA_3,2.039615701,0.26282448,1,3,60,1661,0.039615701,2
176_SA_2,3.05492491,0.37767943,1,2,90,943,0.05492491,3
177_PR_2,4.083222904,0.28864017,1,2,50,115,0.083222904,4
249_SA_3,2.077203111,0.64560202,1,3,75,50000,0.077203111,2
250_SA_3,3.078517153,0.68579968,1,3,60,50000,0.078517153,3
77_SA_1,3.072718947,0.68579968,1,1,120,50000,0.072718947,3
324_SA_4,2.007618542,0.59139861,1,4,130,50000,0.007618542,2
325_PR_4,4.054575398,0.63310031,1,4,180,4656,0.054575398,4
386_SA_5,1.096225137,0.54058518,1,5,90,50000,0.096225137,1
179_PR_2,1.047731991,0.71222705,1,2,100,50000,0.047731991,1
251_PR_3,2.00981212,0.36020202,1,3,60,5021,0.00981212,2
180_LC_2,3.085974865,0.72977685,1,2,60,50000,0.085974865,3
326_SA_4,4.097687928,0.49224366,1,4,1,985,0.097687928,4
78_SA_1,4.047140368,0.49224366,1,1,60,985,0.047140368,4
252_SA_3,4.08377333,0.49224366,1,3,55,985,0.08377333,4
387_SA_5,3.01262882,0.74316057,1,5,90,50000,0.01262882,3
80_SA_1,3.043488925,0.68363013,1,1,90,50000,0.043488925,3
81_SA_1,4.039968253,0.00695613,1,1,60,13843,0.039968253,4
388_SA_5,4.058970362,0.56032752,1,5,60,1961,0.058970362,4
389_SA_5,1.080935191,0.61518766,1,5,90,50000,0.080935191,1
253_SA_3,1.05366477,0.61518766,1,3,60,50000,0.05366477,1
82_VI_1,4.077927519,0.67964044,1,1,30,9841,0.077927519,4
390_LC_5,2.008363091,0.34379639,1,5,180,4119,0.008363091,2
255_PR_3,1.081996387,0.73284464,1,3,150,50000,0.081996387,1
254_PR_3,1.083655512,0.73284464,1,3,60,50000,0.083655512,1
256_PR_3,3.028573583,0.36777459,1,3,90,856,0.028573583,3
258_SA_3,3.014430553,0.45961076,1,3,120,2113,0.014430553,3
327_SA_4,2.099605077,0.43604896,1,4,120,15884,0.099605077,2
84_LC_1,1.056048295,0.65853716,1,1,15,50000,0.056048295,1
86_PR_1,1.011739552,0.74548355,1,1,90,50000,0.011739552,1
259_SA_3,4.073756885,0.32492761,1,3,110,178,0.073756885,4
261_SA_3,4.038922805,0.64950175,1,3,90,5894,0.038922805,4
88_LC_1,1.092816131,0.69510289,1,1,120,50000,0.092816131,1
328_LC_4,1.099581705,0.53700135,1,4,120,50000,0.099581705,1
329_LC_4,1.084972338,0.53700135,1,4,90,50000,0.084972338,1
182_LC_2,2.085401215,0.69707472,1,2,60,50000,0.085401215,2
263_SA_3,2.064489579,0.73719738,1,3,60,50000,0.064489579,2
184_SA_2,2.074467109,0.73719738,1,2,15,50000,0.074467109,2
185_SA_2,3.049149596,0.70321508,1,2,35,50000,0.049149596,3
331_SA_4,3.019740716,0.70321508,1,4,160,50000,0.019740716,3
330_SA_4,3.07438044,0.70321508,1,4,120,50000,0.07438044,3
264_SA_3,1.068711799,0.49809066,1,3,65,50000,0.068711799,1
187_SA_2,1.048376899,0.30416912,1,2,210,50000,0.048376899,1
89_PR_1,1.05203771,0.62589368,1,1,70,50000,0.05203771,1
391_LC_5,2.012866096,0.55408989,1,5,75,50000,0.012866096,2
393_PR_5,1.058268932,0.28691458,1,5,150,50000,0.058268932,1
91_PR_1,1.00528567,0.28691458,1,1,120,50000,0.00528567,1
392_PR_5,1.052576946,0.28691458,1,5,35,50000,0.052576946,1
332_PR_4,4.001897946,0.53349213,1,4,120,1484,0.001897946,4
265_PR_3,2.014311152,0.59469317,1,3,100,50000,0.014311152,2
92_SA_1,3.063865644,0.71305317,1,1,60,50000,0.063865644,3
333_VI_4,3.021405581,0.70110233,1,4,90,50000,0.021405581,3
394_PR_5,3.031717256,0.73053219,1,5,75,50000,0.031717256,3
93_SA_1,4.044398878,0.57588414,1,1,90,2321,0.044398878,4
94_NU_1,1.001754736,0.71289294,1,1,160,50000,0.001754736,1
334_SA_4,4.067888279,0.46037446,1,4,30,723,0.067888279,4
96_VI_1,1.005456212,0.73079255,1,1,50,50000,0.005456212,1
98_PR_1,2.086867572,0.51706766,1,1,10,50000,0.086867572,2
97_PR_1,2.056677911,0.51706766,1,1,20,50000,0.056677911,2
335_SA_4,3.055885926,0.06030075,1,4,30,13926,0.055885926,3
266_SA_3,2.08355617,0.00354332,1,3,80,4673,0.08355617,2
267_NU_3,4.002726766,0.06673409,1,3,50,7858,0.002726766,4
337_PR_4,4.050748789,0.59048879,1,4,1,2736,0.050748789,4
396_SA_5,1.089213488,0.38123272,1,5,60,50000,0.089213488,1
397_SA_5,1.085486719,0.38123272,1,5,10,50000,0.085486719,1
398_NU_5,2.08563278,0.38365362,1,5,150,6799,0.08563278,2
340_SA_4,2.052891677,0.38365362,1,4,60,6799,0.052891677,2
339_SA_4,2.041043708,0.38365362,1,4,140,6799,0.041043708,2
189_PR_2,2.090100487,0.38365362,1,2,80,6799,0.090100487,2
399_SA_5,1.012177145,0.25088817,1,5,60,50000,0.012177145,1
190_SA_2,1.080235968,0.25088817,1,2,30,50000,0.080235968,1
100_PR_1,4.077781597,0.06363247,1,1,60,4868,0.077781597,4
269_SA_3,2.055265506,0.49553673,1,3,40,296667,0.055265506,2
400_PR_5,1.052780148,0.57791348,1,5,45,50000,0.052780148,1
270_PR_3,2.088019998,0.04299138,1,3,75,14089,0.088019998,2
1_PR_1,4.0074455,0.40068287,0,-2,90,401,0.0074455,4
104_LC_2,3.049514167,0.27759285,0,-3,120,335,0.049514167,3
345_SA_5,3.019924769,0.25095108,0,-6,150,245,0.019924769,3
9_SA_1,3.038082412,0.34059062,0,-2,360,653,0.038082412,3
10_SA_1,3.010511023,0.34059062,0,-2,60,653,0.010511023,3
13_SA_1,3.081897473,0.34059062,0,-2,60,653,0.081897473,3
14_SA_1,3.026625537,0.34059062,0,-2,90,653,0.026625537,3
350_SA_5,3.07999903,0.34059062,0,-6,180,653,0.07999903,3
12_SA_1,3.06579885,0.34059062,0,-2,75,653,0.06579885,3
204_SA_3,3.004741757,0.34059062,0,-4,80,653,0.004741757,3
205_SA_3,3.093824138,0.34059062,0,-4,60,653,0.093824138,3
11_SA_1,3.046996915,0.34059062,0,-2,120,653,0.046996915,3
275_SA_4,3.088522688,0.34059062,0,-5,90,653,0.088522688,3
276_SA_4,3.062998449,0.34059062,0,-5,60,653,0.062998449,3
277_SA_4,3.005961263,0.34059062,0,-5,120,653,0.005961263,3
120_SA_2,3.00016178,0.34059062,0,-3,55,653,0.00016178,3
279_SA_4,3.008662943,0.34059062,0,-5,300,653,0.008662943,3
119_SA_2,3.038586649,0.34059062,0,-3,60,653,0.038586649,3
124_SA_2,3.09641928,0.34059062,0,-3,30,653,0.09641928,3
121_LC_2,3.004412172,0.34059062,0,-3,45,653,0.004412172,3
122_SA_2,3.005928366,0.34059062,0,-3,50,653,0.005928366,3
118_SA_2,3.097405709,0.34059062,0,-3,120,653,0.097405709,3
278_PR_4,3.097473731,0.34059062,0,-5,150,653,0.097473731,3
117_SA_2,3.026125196,0.34059062,0,-3,140,653,0.026125196,3
353_SA_5,4.021757297,0.03144548,0,-6,5,158,0.021757297,4
207_SA_3,4.082470078,0.39202635,0,-4,50,368,0.082470078,4
128_SA_2,4.071244055,0.32393342,0,-3,120,176,0.071244055,4
17_NU_1,4.065878868,0.50293685,0,-2,180,1094,0.065878868,4
130_SA_2,2.048600729,0.02547283,0,-3,90,1518,0.048600729,2
356_SA_5,4.031493084,0.37893279,0,-6,150,321,0.031493084,4
18_SA_1,4.099636367,0.51846066,0,-2,90,1276,0.099636367,4
209_SA_3,4.024910851,0.51846066,0,-4,45,1276,0.024910851,4
136_LC_2,3.007982846,0.28302334,0,-3,30,356,0.007982846,3
141_NU_2,3.07990527,0.28978177,0,-3,150,384,0.07990527,3
26_NU_1,3.075834939,0.28978177,0,-2,420,384,0.075834939,3
28_SA_1,4.054916356,0.38822782,0,-2,30,354,0.054916356,4
290_SA_4,4.086843125,0.47682993,0,-5,60,848,0.086843125,4
144_SA_2,3.081084887,0.27232156,0,-3,90,316,0.081084887,3
145_LC_2,4.018521084,0.32697885,0,-3,60,183,0.018521084,4
146_SA_2,4.01470313,0.32697885,0,-3,165,183,0.01470313,4
147_LC_2,4.026501677,0.32697885,0,-3,30,183,0.026501677,4
220_PR_3,4.047607861,0.32697885,0,-4,60,183,0.047607861,4
225_SA_3,3.075929986,0.28703592,0,-4,80,372,0.075929986,3
298_PR_4,4.021785132,0.35980054,0,-5,120,263,0.021785132,4
149_SA_2,3.033903509,0.44135123,0,-3,235,1759,0.033903509,3
152_LC_2,2.060792218,0.27131475,0,-3,1,1824,0.060792218,2
299_LC_4,3.026092776,0.25227338,0,-5,60,249,0.026092776,3
301_SA_4,4.096163929,0.04133827,0,-5,75,456,0.096163929,4
229_SA_3,4.011415596,0.41099691,0,-4,60,445,0.011415596,4
46_SA_1,4.090709237,0.27042025,0,-2,90,91,0.090709237,4
47_SA_1,4.082814025,0.27042025,0,-2,90,91,0.082814025,4
304_VI_4,4.023808449,0.53051875,0,-5,120,1440,0.023808449,4
235_LC_3,4.015957866,0.39755806,0,-4,120,389,0.015957866,4
236_VI_3,4.061934502,0.29955788,0,-4,90,132,0.061934502,4
55_LC_1,4.053401717,0.00050572,0,-2,60,1125,0.053401717,4
54_LC_1,4.045595573,0.00050572,0,-2,60,1125,0.045595573,4
56_LC_1,4.01768367,0.25627614,0,-2,150,75,0.01768367,4
163_PR_2,3.087052759,0.42294141,0,-3,120,1467,0.087052759,3
168_SA_2,4.026517,0.47526962,0,-3,60,835,0.026517,4
67_SA_1,4.024085893,0.32911437,0,-2,60,187,0.024085893,4
318_SA_4,4.092624167,0.50038425,0,-5,240,1067,0.092624167,4
68_SA_1,4.089751348,0.34266967,0,-2,120,218,0.089751348,4
245_SA_3,3.068945799,0.28344748,0,-4,160,358,0.068945799,3
384_SA_5,3.049769118,0.28344748,0,-6,240,358,0.049769118,3
74_SA_1,4.085095138,0.35968813,0,-2,60,262,0.085095138,4
76_SA_1,4.000868988,0.33772506,0,-2,100,206,0.000868988,4
178_NU_2,4.043876945,0.35176394,0,-3,20,241,0.043876945,4
79_SA_1,4.029178816,0.49224366,0,-2,100,985,0.029178816,4
181_LC_2,4.050331163,0.49224366,0,-3,120,985,0.050331163,4
257_SA_3,3.074706011,0.41910119,0,-4,5,1413,0.074706011,3
83_SA_1,3.021932714,0.45961076,0,-2,240,2113,0.021932714,3
85_PR_1,4.080063754,0.29791752,0,-2,70,129,0.080063754,4
260_SA_3,4.098995467,0.32605487,0,-4,120,181,0.098995467,4
87_SA_1,3.088519907,0.43771475,0,-2,60,1697,0.088519907,3
262_SA_3,3.014844238,0.43771475,0,-4,120,1697,0.014844238,3
183_NU_2,4.028610335,0.40938594,0,-3,20,438,0.028610335,4
186_PR_2,4.051842241,0.31808634,0,-3,120,165,0.051842241,4
90_SA_1,4.010694247,0.25177644,0,-2,90,70,0.010694247,4
188_VI_2,4.084121268,0.25410304,0,-3,100,72,0.084121268,4
95_SA_1,3.018267306,0.29138138,0,-2,140,391,0.018267306,3
99_SA_1,4.007855055,0.25708842,0,-2,75,75,0.007855055,4
336_VI_4,3.065318336,0.29832775,0,-5,240,421,0.065318336,3
395_SA_5,4.045956581,0.30543318,0,-6,90,142,0.045956581,4
338_SA_4,4.084667495,0.30543318,0,-5,60,142,0.084667495,4
268_SA_3,3.014350878,0.38086831,0,-4,90,973,0.014350878,3